# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 1180.77 1212.63 1330.79
2000 1006.26 1013 923.962
3000 622.958 567.613 564.906
4000 311.583 267.726 263.086
5000 68.664 43.0421 44.723
6000 -61.1146 -48.8049 -49.4344
7000 -115.578 -192.451 -132.168
8000 -220.533 -260.479 -216.158
9000 -262.17 -282.395 -263.474
10000 -264.959 -301.29 -282.278
11000 -288.653 -306.562 -273.611
12000 -265.222 -277.599 -260.943
13000 -273.7 -315.478 -226.171
14000 -242.686 -260.887 -235.812
15000 -229.788 -258.741 -219.742
16000 -244.262 -229.989 -179.229
17000 -254.282 -245.176 -189.7
18000 -193.738 -204.971 -147.843
19000 -148.549 -151.082 -100.9
20000 -153.138 -165.299 -83.5737
21000 -124.223 -61.3368 -69.293
22000 -50.0399 -57.2885 -13.2549
23000 -36.4204 -11.3491 32.2751
24000 -23.3976 29.5775 55.1091
25000 19.675 25.8783 55.1338
26000 20.4068 31.1242 30.2709
27000 -7.85225 38.8345 48.8047
28000 -17.5425 -1.81586 24.5629
29000 -45.3527 -78.0433 -28.795
30000 -57.5308 -86.8977 -60.9808
31000 -69.0444 -76.8342 -66.856
32000 -33.3687 -56.7257 -58.7209
33000 -40.1927 -41.6128 -68.2466
34000 -20.2477 -92.2009 -19.1787
35000 -39.6383 -30.7575 10.209
36000 -46.5864 -39.734 -3.33214
37000 -3.26424 -27.2704 -28.741
38000 -9.16187 -33.5537 24.3833
39000 8.02328 -30.1219 4.35747
40000 -5.14864 -42.4345 -17.9428
41000 -30.6957 -56.72 -23.255
42000 -29.4189 -34.7745 -53.6486
43000 -52.2302 -72.7144 1.24261
44000 -45.6317 -48.6031 -21.5985
45000 -50.5417 -39.6641 -47.8984
46000 -94.1613 -52.3145 -43.4173
47000 -62.398 -54.7678 -38.7701
48000 -54.5065 -37.1302 -42.7978
49000 -37.5111 -63.273 -69.307
50000 -35.6848 -43.4596 -60.1397
51000 -44.7769 -50.0808 15.8853
52000 -40.7603 -22.4456 -4.44212
53000 -22.0128 -10.3883 -11.9214
54000 -48.0229 25.0391 -36.0978
55000 10.2038 -47.153 29.6229
56000 -84.885 -12.4878 -31.6037
57000 -11.0244 -48.5339 -0.198636
58000 15.3181 -20.758 4.83751
59000 12.8645 -3.36748 30.3635
60000 -16.6434 -61.3578 -67.0027
61000 -30.3804 -25.5601 -14.7987
62000 -50.5746 -29.2199 -2.48095
63000 -12.8594 -8.23534 25.2928
64000 37.6831 -3.26186 28.0844
65000 4.875 6.29951 21.0148
66000 -52.3311 -23.3471 -1.2156
67000 -47.0704 -52.0349 -17.8973
68000 -11.7854 -61.9907 -14.2455
69000 -32.0415 -51.5815 -23.8134
70000 -43.0304 -32.6677 -24.1256
71000 -63.3203 -58.7137 -36.9555
72000 -74.0371 -26.094 -41.6388
73000 -73.2623 -63.1615 -43.6727
74000 -63.3321 -41.2341 -11.6871
75000 -60.6299 -61.0679 3.1866
76000 -72.1669 -53.6378 -14.8321
77000 -3.2465 -15.8244 -1.59544
78000 0.880967 -10.7162 12.785
79000 -0.961359 -24.8908 43.1322
80000 -30.155 -19.1879 29.4921
81000 -66.4244 -64.4417 -32.7155
82000 -85.3301 -75.3138 -20.16
83000 -35.8071 -32.0374 6.53671
84000 -5.18068 -18.3534 -7.46685
85000 -38.6462 -58.7343 -51.0164
86000 -53.17 -68.9561 -30.6205
87000 -33.2537 -40.9677 -3.20699
88000 -28.7119 -29.1247 9.05878
89000 -15.1491 -34.4308 22.4891
90000 -21.1264 -7.80842 18.3026
91000 -73.3736 -16.5346 24.2094
92000 -2.35073 15.988 50.6511
93000 10.8105 -29.883 -29.9191
94000 -6.4421 -8.16527 -2.98936
95000 -6.44591 -8.19133 -22.9813
96000 -38.865 -21.9333 -16.1658
97000 -94.0926 -45.0668 -20.1323
98000 -46.9984 -55.6914 -24.0493
99000 -59.3084 -52.3167 -38.2936
100000 -29.6122 -45.166 -34.4484
101000 -60.0244 -48.5762 -6.69651
102000 -40.1463 -77.5736 -11.0384
103000 -39.3135 -50.9783 -9.87858
104000 -92.0925 -34.1797 -10.2618
105000 -37.1108 -17.5365 44.9558
106000 -48.1922 -52.3305 -31.515
107000 -54.4033 -80.2589 -22.0266
108000 -52.038 -74.0998 -23.5331
109000 -63.5507 -53.2473 -29.0763
110000 -59.9548 -74.7647 8.63013
111000 -72.8825 -72.4914 -27.7016
112000 -50.4232 -23.4403 -6.20173
113000 -18.2152 -34.4873 -7.93976
114000 -53.9411 -8.69628 27.6105
115000 -5.54528 -22.9034 45.779
116000 -45.0355 -21.888 6.44377
117000 -13.6748 -40.7647 19.5231
118000 -42.9086 -54.8907 -37.5202
119000 -59.8845 -65.0387 -17.3848
120000 -46.5858 -29.505 -15.6252
121000 -16.522 -11.8505 -7.47206
122000 -13.8768 -37.301 3.4358
123000 -32.0698 -38.8725 12.9671
124000 29.0512 -16.562 49.4756
125000 -10.191 8.4314 69.188
126000 -5.33271 23.0121 45.615
127000 31.1923 49.815 106.529
128000 13.6019 11.4251 69.5219
129000 -2.61753 27.9392 53.3203
130000 26.024 63.2281 85.877
131000 62.5046 71.7106 94.3858
132000 51.1708 65.1039 104.875
133000 58.0095 92.2604 41.6392
134000 48.9935 98.6489 48.6874
135000 87.1784 86.8772 112.265
136000 79.0904 113.458 113.973
137000 110.707 78.9097 138.6
138000 47.5481 56.73 64.0777
139000 70.8108 64.7468 41.2707
140000 94.3768 42.3489 66.7351
141000 44.2729 36.1392 26.1956
142000 34.8841 27.3318 22.7813
143000 9.82512 42.281 6.02378
144000 -8.6781 19.5936 10.3101
145000 -19.2308 -8.73086 22.413
146000 -45.4568 -39.5333 -26.89
147000 -24.9341 -31.0299 -5.76667
148000 -46.1937 -61.9592 -53.351
149000 -69.4711 -55.8929 -64.3996
150000 -23.4323 -43.7128 -50.6277
151000 -38.6517 -71.5583 -40.7817
152000 -82.7807 -56.673 -78.9889
153000 -63.4908 -80.137 -43.4154
154000 -77.1811 -110.874 -43.5413
155000 -90.9631 -73.4641 -96.9117
156000 -100.809 -56.3985 -32.8878
157000 -73.4213 -64.5001 -59.8142
158000 -51.4367 -59.6061 -56.6167
159000 -37.3363 -28.6658 -47.7055
160000 -37.1263 -31.4225 -8.94147
161000 -8.24371 -33.1386 4.53684
162000 -12.7674 -3.37365 -20.6881
163000 -5.21616 -6.56133 27.7817
164000 -2.71238 -2.03135 15.9373
165000 -28.1452 -4.53133 11.4735
166000 -21.793 -8.4547 -9.47196
167000 22.0398 -13.7199 -2.13324
168000 38.5064 -24.6741 21.7304
169000 38.1552 -0.597221 34.7948
170000 31.3161 55.5305 4.47638
171000 49.1057 18.462 40.6841
172000 74.9958 43.7881 44.1614
173000 83.9869 64.0292 67.5057
174000 49.0013 49.6606 65.3421
175000 23.6609 44.821 16.8228
176000 14.3281 37.3787 24.9739
177000 48.837 32.3236 23.4632
178000 37.7762 67.2574 72.2534
179000 41.8308 93.0285 54.9231
180000 28.9175 54.2064 46.7971
181000 -6.21758 8.07134 37.9235
182000 8.09805 -8.50439 6.83895
183000 -42.5119 10.5783 15.3626
184000 -43.4385 -25.2656 -55.2547
185000 -2.16987 -26.6873 -47.8206
186000 -4.10597 -29.4883 -19.4681
187000 -31.5864 14.6924 -16.0903
