# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 1049.73 1031.59 1146.47
2000 744.08 731.505 741.163
3000 402.263 450.463 338.617
4000 162.754 194.623 226.017
5000 53.4602 87.7991 44.9118
6000 -65.8452 -26.7543 -28.563
7000 -118.608 -79.8826 -90.8639
8000 -188.83 -144.853 -125.568
9000 -227.025 -218.537 -164.626
10000 -219.537 -231.835 -206.664
11000 -254.596 -282.889 -231.566
12000 -294.209 -262.267 -268.893
13000 -298.63 -299.905 -280.099
14000 -239.433 -280.162 -226.099
15000 -246.678 -256.655 -216.022
16000 -238.038 -223.008 -198.447
17000 -205.523 -175.413 -176.576
18000 -210.584 -198.779 -187.74
19000 -212.811 -206.232 -202.937
20000 -191.367 -138.912 -147.345
21000 -115.104 -149.906 -110.637
22000 -110.242 -141.221 -115.527
23000 -134.431 -139.831 -78.9863
24000 -77.9799 -77.4816 -57.7011
25000 -71.9695 -72.5465 -14.5015
26000 -64.6173 -52.1822 -36.6933
27000 -42.6562 -31.0742 -14.4051
28000 -16.9674 -38.4594 21.754
29000 -34.2068 -31.6271 -13.3679
30000 -25.7494 -52.995 0.15744
31000 -12.5833 -33.5025 -26.6918
32000 -37.2741 -26.3229 -11.4111
33000 -32.0772 -49.1233 -21.5175
34000 -73.3736 -39.1322 -37.1188
35000 -35.2213 -48.3703 -9.8156
36000 -51.3194 -55.9073 -42.1257
37000 -28.9092 -62.9147 -4.70843
38000 -37.5798 -43.3528 -43.0498
39000 -45.3038 -43.305 6.508
40000 -59.3238 -54.7204 -70.4758
41000 -52.8283 -56.8931 -34.251
42000 -42.6578 -87.6355 -11.8203
43000 -30.4377 -16.0346 36.0211
44000 -56.3049 -38.6155 -31.12
45000 -66.9415 -60.1698 -26.5016
46000 -50.8209 -81.9197 -39.7542
47000 -75.0157 -59.9558 -44.4308
48000 -40.903 -42.326 -19.2753
49000 -71.1742 -92.5874 -37.6319
50000 -27.6179 -68.3481 -21.7805
51000 -46.6824 -71.569 -20.0189
52000 -49.9002 -77.0478 -28.0477
53000 -32.949 -30.7131 -15.5055
54000 -49.8041 -62.4373 -20.7851
55000 -42.625 -38.3624 -15.6298
56000 -103.152 -48.1927 -24.3253
57000 -51.6644 -53.8849 -2.19223
58000 -1.87254 -9.55329 55.2196
59000 -14.6191 5.32181 31.3304
60000 -53.1631 -43.9131 -12.7146
61000 -30.4373 -18.7677 3.99299
62000 29.2498 31.2436 36.2845
63000 49.0795 27.0577 35.2323
64000 -5.15865 30.8357 41.4433
65000 -6.42003 -17.5829 19.5239
66000 -0.674184 -5.32364 2.81993
67000 -44.0857 3.71813 -4.45539
68000 9.67471 24.242 38.4821
69000 -11.3624 4.8944 14.6466
70000 7.40999 48.2018 48.3629
71000 4.2717 21.9348 42.8548
72000 19.4933 5.18103 60.8613
73000 52.5362 21.8862 66.9003
74000 76.1273 61.1539 129.491
75000 102.893 39.8004 112.127
76000 42.0406 53.465 75.3252
77000 34.0044 46.5062 93.2563
78000 84.31 93.3696 59.2628
79000 68.1895 110.627 86.696
80000 77.2731 130.695 129.678
81000 46.126 60.6266 110.81
82000 73.2007 49.1025 78.3789
83000 59.7903 50.1 16.8156
84000 26.046 32.4187 51.4317
85000 64.0069 41.5596 55.0296
86000 -16.1654 22.1647 11.1482
87000 17.9004 21.0916 10.2972
88000 14.4534 23.0391 0.497084
89000 20.7418 39.4874 -10.5611
90000 -34.6207 -0.763409 -4.69302
91000 5.4857 8.06703 -23.0473
92000 -29.5732 19.169 -4.16309
93000 -12.0316 -31.8903 11.6525
94000 -49.502 -80.7421 -40.9026
95000 -44.2891 -52.721 -35.7838
96000 -12.1096 -53.7973 -26.7879
97000 -58.6378 -58.4605 -65.4745
98000 -39.6543 -93.4006 -77.9528
99000 -60.6865 -93.1793 -86.5417
100000 -22.6655 -68.602 -43.0894
101000 -50.5849 -48.7543 -58.7787
102000 -33.5254 -25.3282 -61.1332
103000 -37.4885 -44.0235 -38.1583
104000 -32.9562 -27.9513 -20.7831
105000 -47.2132 -62.3581 8.54084
106000 -3.45459 -33.1177 -19.1096
107000 -21.8716 -43.9857 -39.137
108000 -35.7552 -10.9178 15.9033
109000 -31.4202 -15.6546 34.3696
110000 -40.6588 -55.0536 3.42937
111000 -18.3374 -2.48947 44.6013
112000 0.566694 -17.3007 29.9602
113000 11.4269 -27.7729 22.7998
114000 -21.3163 -17.2231 24.146
115000 -5.16085 38.3929 64.7333
116000 38.1834 40.1285 26.0195
117000 74.5093 43.7628 36.8697
118000 14.9776 -38.2369 -24.3373
119000 -17.6778 18.7933 17.0151
120000 2.49384 24.8611 4.64449
121000 -6.04157 37.2205 63.5478
122000 -7.02282 19.4436 36.2425
123000 8.36115 6.43794 18.3209
124000 10.3259 9.99207 18.8589
125000 -4.91148 -17.7051 30.66
126000 -8.49058 5.36064 53.1064
127000 -2.22274 -6.74381 15.6114
128000 -41.1133 -54.16 -13.6268
129000 -45.1448 -44.9158 1.14667
130000 -18.9768 16.533 -1.22287
131000 -34.2305 14.0487 41.5423
132000 1.82106 -34.5767 36.358
133000 -48.2334 10.0855 17.4439
134000 -2.6471 4.86386 1.79621
135000 -5.51236 -30.5647 -22.9103
136000 -11.2796 -15.3585 -25.966
137000 -33.1519 -30.7751 -3.85519
138000 -13.9421 1.36578 7.87656
139000 -31.5117 10.2439 -5.33478
140000 -52.6094 -28.2385 -6.85169
141000 -58.0825 -73.8641 -65.0786
142000 -86.6643 -78.0199 -66.5585
143000 -35.1536 -27.7284 -47.7412
144000 -48.1207 -23.1793 -12.3329
145000 -43.4691 -59.1508 -43.9132
146000 -42.845 -56.2523 -48.5157
147000 -47.5309 -41.9882 -54.0228
148000 2.21745 -30.6841 29.8155
149000 -3.49009 -5.72691 18.4871
150000 -35.9709 7.44314 13.2833
151000 -29.2738 14.4302 25.379
152000 -15.5719 -17.5221 17.6622
153000 -15.1366 -46.0042 -18.4282
154000 4.33276 19.9493 31.8773
155000 2.01669 4.79294 20.7063
156000 -6.2108 41.1625 39.2955
157000 -0.707163 38.6736 44.8785
158000 16.5017 3.56955 14.0297
159000 36.577 -3.13772 6.38815
160000 40.8276 3.84334 43.4558
161000 41.5397 12.8629 50.7104
162000 -5.07162 11.7525 -1.53747
163000 15.674 21.8218 42.3465
164000 -2.82445 13.7142 -3.02044
165000 0.0458999 23.7608 3.9487
166000 22.2513 20.8728 0.620821
167000 -17.3025 12.1844 -10.4519
168000 -5.73662 -6.35847 16.4094
169000 6.97555 34.0676 3.04109
170000 -12.6823 -18.7089 -1.02903
171000 13.3702 26.4372 20.5877
172000 -18.7295 -10.9775 40.7429
173000 7.64254 26.4436 22.9261
174000 -40.955 5.17514 -17.3877
175000 -20.429 -29.1529 -14.6771
176000 -22.1556 9.46924 -17.5962
177000 -41.7573 -53.9809 -1.9859
178000 -63.7627 -32.4022 -31.0797
179000 -46.5803 -27.3139 -26.1298
180000 -62.4611 -14.4034 -14.5923
181000 -23.1528 -6.29707 -19.7145
182000 -5.55003 17.1153 19.6931
183000 -46.7868 -44.1609 -8.56518
184000 -21.0518 -13.2806 -8.57352
185000 -26.1158 -20.9007 9.14745
186000 -15.8938 -18.5283 5.57072
187000 8.038 -0.0131384 -3.67251
188000 36.9414 21.6805 29.8675
189000 -28.2253 11.9293 26.1048
190000 12.8305 2.96733 4.14366
191000 1.88714 -16.2462 10.0876
192000 -25.834 -22.749 11.2973
193000 -31.232 21.1526 1.37826
194000 -45.5174 30.6057 16.4696
195000 -7.76433 8.05822 20.9969
196000 -5.75902 17.2356 -9.54171
197000 -6.7588 -0.792248 27.431
198000 10.7646 -2.4327 57.7649
199000 3.71181 20.0628 30.2291
200000 15.1155 4.97579 23.9251
