# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 831.41 880.424 941.833
2000 575.36 594.668 543.652
3000 322.818 351.743 287.697
4000 205.684 213.505 166.08
5000 125.878 85.9196 87.4794
6000 -12.6449 -2.04073 32.4665
7000 -97.9655 -38.7042 -34.3947
8000 -127.49 -88.4183 -91.32
9000 -152.421 -124.073 -156.076
10000 -175.557 -113.775 -165.044
11000 -165.585 -149.422 -174.319
12000 -179.142 -160.658 -182.55
13000 -222.144 -193.169 -213.744
14000 -210.645 -209.056 -177.377
15000 -215.423 -205.22 -216.158
16000 -194.475 -254.883 -212.685
17000 -213.745 -199.312 -190.002
18000 -215.495 -179.697 -174.111
19000 -164.712 -134.152 -154.023
20000 -183.53 -151.613 -150.522
21000 -146.095 -155.295 -112.469
22000 -119.329 -114.771 -81.8935
23000 -118.797 -136.742 -106.357
24000 -151.449 -140.837 -95.3149
25000 -143.076 -84.4519 -57.7241
26000 -144.745 -61.9081 -69.5037
27000 -120.287 -98.4349 -100.474
28000 -152.094 -113.32 -52.4753
29000 -101.221 -97.8398 -82.1368
30000 -109.597 -122.958 -67.4505
31000 -88.3903 -95.8677 -48.3095
32000 -62.1351 -114.877 -47.2877
33000 -63.5709 -71.3365 -27.7438
34000 -32.0499 -21.2349 8.66482
35000 -42.9477 -34.9378 -16.5677
36000 -53.8987 -56.9026 -49.8067
37000 -84.0347 -95.0891 -39.0727
38000 -71.0058 -84.9759 -15.9598
39000 -67.6139 -91.8812 -8.50388
40000 -27.2905 -48.1782 -1.3832
41000 -44.0492 -30.0662 10.7824
42000 -74.8987 -25.6834 -5.43202
43000 -4.22068 1.93946 27.65
44000 -7.59383 -61.0064 22.795
45000 -56.6037 -49.2507 -15.2817
46000 1.45906 -9.25559 33.0485
47000 44.969 30.8916 111.871
48000 23.1476 9.06059 111.236
49000 57.3437 58.1916 85.5292
50000 65.1163 98.7888 136.145
51000 84.3498 88.3795 122.43
52000 64.8643 104.849 130.297
53000 90.0925 114.302 145.827
54000 96.1338 98.584 183.463
55000 113.769 120.324 150.376
