# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 9.99201e-16 5.32907e-15 -2.22045e-15 9.66136e-21 5.15273e-20 -2.14697e-20
1000 4.88498e-15 1.9984e-15 -3.55271e-15 4.72333e-20 1.93227e-20 -3.43515e-20
2000 -1.5099e-14 1.88738e-15 -5.32907e-15 -1.45994e-19 1.82492e-20 -5.15273e-20
3000 1.46549e-14 7.77156e-15 -8.88178e-15 1.417e-19 7.51439e-20 -8.58788e-20
4000 -7.10543e-15 -6.88338e-15 2.13163e-14 -6.8703e-20 -6.65561e-20 2.06109e-19
5000 5.9952e-15 -5.9952e-15 -7.10543e-15 5.79682e-20 -5.79682e-20 -6.8703e-20
6000 -6.21725e-15 3.55271e-15 1.24345e-14 -6.01152e-20 3.43515e-20 1.2023e-19
7000 -3.10862e-15 -2.22045e-15 1.06581e-14 -3.00576e-20 -2.14697e-20 1.03055e-19
8000 -1.07692e-14 -5.10703e-15 1.77636e-14 -1.04128e-19 -4.93803e-20 1.71758e-19
9000 7.32747e-15 1.88738e-15 1.24345e-14 7.085e-20 1.82492e-20 1.2023e-19
10000 5.55112e-15 1.55431e-15 1.42109e-14 5.36742e-20 1.50288e-20 1.37406e-19
11000 1.77636e-15 3.33067e-16 -8.88178e-16 1.71758e-20 3.22045e-21 -8.58788e-21
12000 6.21725e-15 -4.44089e-16 -4.44089e-15 6.01152e-20 -4.29394e-21 -4.29394e-20
13000 3.10862e-15 -5.32907e-15 -2.13163e-14 3.00576e-20 -5.15273e-20 -2.06109e-19
14000 8.88178e-15 4.44089e-16 -1.5099e-14 8.58788e-20 4.29394e-21 -1.45994e-19
15000 -1.9984e-15 6.66134e-15 -1.15463e-14 -1.93227e-20 6.44091e-20 -1.11642e-19
16000 7.10543e-15 1.19904e-14 6.21725e-15 6.8703e-20 1.15936e-19 6.01152e-20
17000 -8.88178e-15 1.28786e-14 4.44089e-16 -8.58788e-20 1.24524e-19 4.29394e-21
18000 5.10703e-15 6.66134e-15 8.43769e-15 4.93803e-20 6.44091e-20 8.15849e-20
19000 -2.44249e-15 -2.88658e-15 -3.9968e-15 -2.36167e-20 -2.79106e-20 -3.86455e-20
